id,key,value,type
12198433,access,private,regular
12198433,highway,service,regular
12198433,service,driveway,regular
12198446,access,private,regular
12198446,highway,service,regular
12198446,cfcc,A41,tiger
12198446,county,"Honolulu, HI",tiger
12198446,reviewed,no,tiger
12198518,highway,residential,regular
12198518,cfcc,A41,tiger
12198518,county,"Honolulu, HI",tiger
12198518,reviewed,no,tiger
12198547,access,private,regular
12198547,highway,track,regular
12198547,name,Cane Haul Road,regular
12198547,cfcc,A41,tiger
12198547,county,"Honolulu, HI",tiger
12198547,tracktype,grade1,regular
12198588,highway,residential,regular
12198588,cfcc,A41,tiger
12198588,tlid,203232943,tiger
12198588,county,"Honolulu, HI",tiger
12198588,source,tiger_import_dch_v0.6_20070809,tiger
12198588,reviewed,no,tiger
12198588,separated,no,tiger
12198588,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12198607,highway,residential,regular
12198647,highway,residential,regular
12198647,cfcc,A41,tiger
12198647,tlid,203251596:203251688:203251690:203249194,tiger
12198647,county,"Honolulu, HI",tiger
12198647,source,tiger_import_dch_v0.6_20070809,tiger
12198647,reviewed,no,tiger
12198647,separated,no,tiger
12198647,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12198674,highway,residential,regular
12198674,cfcc,A41,tiger
12198674,tlid,203251009,tiger
12198674,county,"Honolulu, HI",tiger
12198674,source,tiger_import_dch_v0.6_20070809,tiger
12198674,reviewed,no,tiger
12198674,separated,no,tiger
12198674,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12198702,highway,residential,regular
12198702,cfcc,A41,tiger
12198702,county,"Honolulu, HI",tiger
12198716,highway,residential,regular
12198716,cfcc,A41,tiger
12198716,tlid,203260225:203260230,tiger
12198716,county,"Honolulu, HI",tiger
12198716,source,tiger_import_dch_v0.6_20070809,tiger
12198716,reviewed,no,tiger
12198716,separated,no,tiger
12198716,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12198793,highway,residential,regular
12198793,cfcc,A41,tiger
12198793,tlid,203232320:203232327,tiger
12198793,county,"Honolulu, HI",tiger
12198793,source,tiger_import_dch_v0.6_20070809,tiger
12198793,reviewed,no,tiger
12198793,separated,no,tiger
12198793,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12198831,highway,track,regular
12198831,service,driveway,regular
12198831,tracktype,grade1,regular
12198845,access,private,regular
12198845,highway,service,regular
12198845,cfcc,A41,tiger
12198845,county,"Honolulu, HI",tiger
12198845,reviewed,no,tiger
12198862,oneway,yes,regular
12198862,highway,motorway_link,regular
12198862,cfcc,A63,tiger
12198862,destination,Punchbowl Street,regular
12198862,county,"Honolulu, HI",tiger
12198862,reviewed,no,tiger
12198883,access,private,regular
12198883,highway,service,regular
12198883,service,driveway,regular
12198883,cfcc,A41,tiger
12198883,county,"Honolulu, HI",tiger
12198893,access,private,regular
12198893,highway,tertiary,regular
12198893,lanes,2,regular
12198893,name,Higgins Road,regular
12198893,oneway,yes,regular
12198893,surface,asphalt,regular
12198917,highway,residential,regular
12198917,cfcc,A41,tiger
12198917,tlid,203250764,tiger
12198917,county,"Honolulu, HI",tiger
12198917,source,tiger_import_dch_v0.6_20070809,tiger
12198917,reviewed,no,tiger
12198917,separated,no,tiger
12198917,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12198946,highway,residential,regular
12198946,cfcc,A41,tiger
12198946,tlid,203332937,tiger
12198946,county,"Honolulu, HI",tiger
12198946,source,tiger_import_dch_v0.6_20070809,tiger
12198946,reviewed,no,tiger
12198946,separated,no,tiger
12198946,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12198971,highway,service,regular
12198971,cfcc,A41,tiger
12198971,county,"Honolulu, HI",tiger
12198998,highway,residential,regular
12198998,cfcc,A41,tiger
12198998,tlid,203246531:203247635:203248917,tiger
12198998,county,"Honolulu, HI",tiger
12198998,source,tiger_import_dch_v0.6_20070809,tiger
12198998,reviewed,no,tiger
12198998,separated,no,tiger
12198998,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12199019,highway,footway,regular
12199019,cfcc,A71,tiger
12199019,county,"Honolulu, HI",tiger
12199019,reviewed,no,tiger
12199067,access,no,regular
12199067,highway,service,regular
12199067,cfcc,A41,tiger
12199067,county,"Honolulu, HI",tiger
12199067,reviewed,no,tiger
12199086,highway,residential,regular
12199086,cfcc,A41,tiger
12199086,tlid,203261470,tiger
12199086,county,"Honolulu, HI",tiger
12199086,source,tiger_import_dch_v0.6_20070809,tiger
12199086,reviewed,no,tiger
12199086,separated,no,tiger
12199086,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12199096,access,private,regular
12199096,highway,service,regular
12199096,service,parking_aisle,regular
12199114,access,private,regular
12199114,highway,service,regular
12199114,cfcc,A74,tiger
12199114,tlid,203251708,tiger
12199114,county,"Honolulu, HI",tiger
12199114,source,tiger_import_dch_v0.6_20070809,tiger
12199114,reviewed,no,tiger
12199114,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12199135,highway,unclassified,regular
12199135,surface,unpaved,regular
12199135,cfcc,A41,tiger
12199135,county,"Honolulu, HI",tiger
12199135,reviewed,no,tiger
12199150,highway,service,regular
12199162,name,Kualoa Park Drive,regular
12199162,lanes,1,regular
12199162,oneway,yes,regular
12199162,highway,service,regular
12199162,cfcc,A41,tiger
12199162,tlid,203232878:203232881,tiger
12199162,county,"Honolulu, HI",tiger
12199162,source,tiger_import_dch_v0.6_20070809,tiger
12199162,reviewed,no,tiger
12199162,separated,no,tiger
12199162,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12199204,highway,residential,regular
12199247,highway,residential,regular
12199247,cfcc,A41,tiger
12199247,tlid,203251673,tiger
12199247,county,"Honolulu, HI",tiger
12199247,source,tiger_import_dch_v0.6_20070809,tiger
12199247,reviewed,no,tiger
12199247,separated,no,tiger
12199247,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12199265,highway,residential,regular
12199265,cfcc,A41,tiger
12199265,tlid,203258034,tiger
12199265,county,"Honolulu, HI",tiger
12199265,source,tiger_import_dch_v0.6_20070809,tiger
12199265,reviewed,no,tiger
12199265,separated,no,tiger
12199265,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12199296,highway,service,regular
12199296,cfcc,A74,tiger
12199296,tlid,203334948:203334949,tiger
12199296,county,"Honolulu, HI",tiger
12199296,source,tiger_import_dch_v0.6_20070809,tiger
12199296,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12199315,highway,service,regular
12199379,highway,service,regular
12199379,service,alley,regular
12199385,highway,residential,regular
12199385,name,Helelua Place,regular
12199385,name_base,Helelua,tiger
12199385,name_type,Pl,tiger
12199411,highway,residential,regular
12199411,cfcc,A41,tiger
12199411,tlid,203257760,tiger
12199411,county,"Honolulu, HI",tiger
12199411,source,tiger_import_dch_v0.6_20070809,tiger
12199411,reviewed,no,tiger
12199411,separated,no,tiger
12199411,upload_uuid,bulk_upload.pl-fd7bfe10-7a28-44e7-b196-d2b35d899d00,tiger
12199464,highway,service,regular
12199464,service,parking_aisle,regular
12199485,highway,service,regular
12199485,service,parking_aisle,regular
12199497,highway,service,regular
12199497,service,driveway,regular
12199570,highway,residential,regular
12199570,cfcc,A41,tiger
12199570,county,"Honolulu, HI",tiger
12199570,reviewed,no,tiger
12199615,access,private,regular
12199615,highway,service,regular
12199615,cfcc,A41,tiger
12199615,county,"Honolulu, HI",tiger
12199615,reviewed,no,tiger
12199642,highway,service,regular
12199662,access,private,regular
12199662,highway,service,regular
12199662,service,driveway,regular
12199688,oneway,yes,regular
12199688,highway,motorway_link,regular
12199688,created_by,Potlatch 0.10f,regular
12199688,cfcc,A63,tiger
12199688,tlid,203237621,tiger
12199688,county,"Honolulu, HI",tiger
12199688,source,tiger_import_dch_v0.6_20070809,tiger
12199688,reviewed,no,tiger
