id,user,uid,version,changeset,timestamp
12200169,,,1,0,2007-11-12T22:50:41Z
12200193,,,1,0,2007-11-12T22:50:48Z
12200208,,,1,0,2007-11-12T22:50:53Z
12200231,,,3,0,2013-05-17T14:45:36Z
12200241,,,1,0,2007-11-12T22:51:01Z
12200268,,,2,0,2017-07-04T05:38:57Z
12200278,,,9,0,2015-09-03T19:07:37Z
12200297,,,2,0,2017-07-04T20:54:39Z
12200333,,,3,0,2017-07-03T02:37:09Z
12200351,,,4,0,2017-07-19T19:05:48Z
12200368,,,3,0,2017-07-04T14:05:50Z
12200404,,,5,0,2017-07-03T00:46:56Z
12200427,,,2,0,2013-06-21T22:42:36Z
12200458,,,4,0,2017-08-29T07:17:24Z
12200494,,,4,0,2017-07-19T18:44:19Z
12200545,,,2,0,2017-07-04T05:38:57Z
12200562,,,1,0,2007-11-12T22:52:29Z
12200570,,,3,0,2013-08-03T04:14:59Z
12200575,,,1,0,2007-11-12T22:52:34Z
12200601,,,1,0,2007-11-12T22:52:42Z
12200629,,,6,0,2013-08-03T04:15:01Z
12200650,,,2,0,2013-12-28T12:13:59Z
12200665,,,4,0,2017-07-09T00:36:32Z
12200672,,,4,0,2017-07-09T00:36:32Z
12200766,,,12,0,2012-02-17T21:01:50Z
12200778,,,6,0,2017-07-03T10:06:09Z
12200792,,,6,0,2017-07-03T00:39:22Z
12200814,,,5,0,2017-07-02T11:51:53Z
12200824,,,1,0,2007-11-12T22:53:32Z
12200839,,,1,0,2007-11-12T22:53:35Z
12200852,,,2,0,2014-02-19T12:42:57Z
12200868,,,1,0,2007-11-12T22:53:45Z
12200902,,,3,0,2014-12-18T23:44:54Z
12200951,,,7,0,2014-05-19T03:28:12Z
12200976,,,3,0,2016-10-09T01:23:21Z
12200988,,,1,0,2007-11-12T22:54:14Z
12201046,,,3,0,2016-10-09T15:06:19Z
12201073,,,2,0,2012-01-30T14:39:13Z
12201117,,,3,0,2013-08-01T20:53:58Z
12201129,,,3,0,2016-10-09T15:06:26Z
12201176,,,2,0,2017-07-04T05:30:17Z
12201193,,,1,0,2007-11-12T22:55:06Z
12201209,,,3,0,2017-07-03T02:37:08Z
12201223,,,4,0,2014-03-20T18:15:52Z
12201266,,,9,0,2017-05-30T20:09:01Z
12201284,,,4,0,2017-07-09T00:36:34Z
12201316,,,10,0,2017-07-19T10:50:20Z
12201326,,,2,0,2013-05-18T03:09:05Z
12201353,,,2,0,2017-07-04T21:16:00Z
12201383,,,3,0,2014-12-17T18:11:26Z
12201391,,,2,0,2013-03-10T07:01:36Z
12201409,,,1,0,2007-11-12T22:56:00Z
12201448,,,5,0,2017-07-09T00:20:47Z
12201487,,,5,0,2013-09-24T01:49:01Z
12201506,,,3,0,2013-03-10T07:01:35Z
12201537,,,2,0,2013-12-28T12:13:58Z
12201563,,,4,0,2017-07-09T00:36:35Z
12201573,,,2,0,2013-03-11T07:10:22Z
12201608,,,2,0,2016-06-16T23:38:20Z
12201637,,,2,0,2017-07-04T05:30:13Z
12201672,,,3,0,2017-07-02T11:51:53Z
12201692,,,1,0,2007-11-12T22:57:01Z
12201709,,,5,0,2012-04-07T05:53:15Z
12201728,,,4,0,2017-07-09T00:36:35Z
12201753,,,2,0,2014-05-07T20:19:44Z
12201777,,,4,0,2015-08-13T14:51:11Z
12201795,,,2,0,2017-07-04T10:52:38Z
12201846,,,3,0,2016-10-09T00:54:23Z
12201869,,,19,0,2017-11-02T02:59:33Z
12201914,,,6,0,2017-07-03T18:47:26Z
12201925,,,3,0,2017-07-02T12:43:28Z
12201957,,,4,0,2013-09-30T01:55:27Z
12201973,,,4,0,2017-07-08T03:09:33Z
12202050,,,3,0,2017-07-04T05:30:14Z
12202082,,,3,0,2017-05-30T17:25:30Z
12202094,,,3,0,2017-05-30T17:25:31Z
12202132,,,20,0,2017-07-28T04:48:16Z
12202141,,,6,0,2017-05-30T11:10:20Z
12202152,,,5,0,2017-07-20T01:47:09Z
12202165,,,3,0,2013-05-27T01:45:03Z
12202188,,,5,0,2017-07-19T10:50:09Z
12202198,,,6,0,2017-07-08T23:14:12Z
12202209,,,8,0,2017-07-04T14:05:49Z
12202220,,,5,0,2013-02-25T07:48:37Z
12202230,,,5,0,2017-07-09T00:51:53Z
12202238,,,3,0,2017-05-30T17:25:34Z
12202248,,,4,0,2017-07-03T20:50:31Z
12202256,,,2,0,2013-05-14T04:51:32Z
12202275,,,3,0,2017-05-30T17:25:35Z
12202289,,,3,0,2017-05-30T17:25:35Z
12202296,,,7,0,2017-07-04T21:02:53Z
12202308,,,5,0,2017-08-30T02:23:32Z
12202332,,,4,0,2017-05-30T17:25:36Z
12202348,,,4,0,2017-07-04T05:01:38Z
12202358,,,3,0,2017-05-30T17:25:37Z
12202368,,,8,0,2013-10-04T03:05:33Z
12202385,,,3,0,2017-05-30T17:25:38Z
12202400,,,4,0,2017-05-30T17:25:38Z
12202417,,,5,0,2017-07-04T12:00:40Z
12202440,,,3,0,2013-11-02T22:17:25Z
12202459,,,8,0,2017-05-15T00:38:28Z
12202474,,,4,0,2017-07-09T00:51:54Z
12202481,,,1,0,2007-11-12T23:00:12Z
12202494,,,10,0,2017-05-30T17:25:40Z
12202502,,,6,0,2017-07-08T02:57:07Z
12202522,,,3,0,2013-11-02T22:17:47Z
12202534,,,7,0,2017-11-02T20:18:44Z
12202546,,,4,0,2017-07-24T20:57:40Z
12202556,,,9,0,2017-07-28T04:48:10Z
12202564,,,11,0,2017-11-02T01:30:37Z
12202573,,,4,0,2017-11-05T20:44:27Z
12202584,,,9,0,2015-09-03T16:40:43Z
12202598,,,5,0,2018-02-07T13:14:20Z
12202606,,,6,0,2012-04-13T02:54:59Z
12202613,,,3,0,2017-05-30T17:25:42Z
12202625,,,11,0,2018-02-06T15:03:46Z
12202644,,,5,0,2017-07-09T00:51:56Z
12202663,,,4,0,2017-05-30T17:25:42Z
12202672,,,9,0,2017-10-15T21:34:20Z
12202677,,,4,0,2017-07-09T00:36:37Z
12202700,,,5,0,2013-04-22T10:50:04Z
12202720,,,3,0,2017-05-30T17:25:44Z
12202734,,,5,0,2015-08-03T17:01:32Z
12202753,,,4,0,2015-08-03T18:15:00Z
12202770,,,4,0,2017-07-04T04:50:56Z
12202780,,,5,0,2017-05-30T17:25:45Z
12202793,,,2,0,2013-04-22T10:50:11Z
12202800,,,5,0,2017-07-04T14:05:51Z
12202813,,,4,0,2017-07-04T14:05:52Z
12202822,,,5,0,2017-05-30T17:25:47Z
12202829,,,4,0,2017-05-30T17:25:47Z
12202844,,,4,0,2016-10-09T15:06:22Z
12202862,,,4,0,2017-05-30T17:25:48Z
12202873,,,4,0,2017-05-30T17:25:48Z
12202882,,,5,0,2016-10-09T03:54:29Z
12202890,,,5,0,2017-07-04T11:47:57Z
12202897,,,3,0,2017-05-30T17:25:49Z
12202908,,,4,0,2017-07-20T08:31:29Z
12202927,,,5,0,2017-05-30T17:25:50Z
12202933,,,15,0,2017-11-02T02:59:33Z
12202949,,,8,0,2017-05-30T17:25:50Z
12202957,,,3,0,2017-05-30T17:25:51Z
12202968,,,5,0,2017-05-30T17:25:51Z
12202987,,,4,0,2017-05-30T17:25:51Z
12203007,,,4,0,2015-07-14T02:42:51Z
12203021,,,6,0,2017-11-02T20:18:45Z
12203033,,,3,0,2016-10-09T03:54:28Z
12203039,,,7,0,2017-07-20T03:29:59Z
12203044,,,5,0,2017-07-08T23:14:14Z
12203051,,,2,0,2017-05-30T17:25:53Z
12203078,,,4,0,2017-05-30T17:25:53Z
12203085,,,4,0,2017-05-30T17:25:54Z
12203098,,,11,0,2017-07-09T00:36:38Z
12203110,,,4,0,2017-05-30T17:25:54Z
12203126,,,3,0,2017-05-30T17:25:55Z
12203140,,,4,0,2017-05-30T17:25:56Z
12203159,,,5,0,2017-09-27T20:00:42Z
12203167,,,5,0,2017-07-09T00:15:56Z
12203186,,,13,0,2017-06-28T00:50:21Z
12203204,,,4,0,2017-07-20T08:44:10Z
12203226,,,5,0,2017-07-09T00:15:57Z
12203236,,,4,0,2017-05-30T17:25:58Z
12203242,,,6,0,2017-05-30T17:25:58Z
12203258,,,8,0,2017-11-02T01:11:39Z
12203270,,,5,0,2016-08-06T08:26:29Z
12203291,,,7,0,2017-07-19T20:49:18Z
12203316,,,7,0,2017-07-04T17:07:27Z
12203330,,,4,0,2017-07-02T11:51:53Z
12203344,,,5,0,2013-05-27T02:42:28Z
12203362,,,4,0,2017-05-30T17:26:00Z
12203396,,,12,0,2017-11-05T20:54:05Z
12203406,,,3,0,2017-05-30T17:26:01Z
12203435,,,10,0,2013-09-30T06:23:33Z
12203447,,,4,0,2017-05-30T17:26:02Z
12203457,,,4,0,2017-05-30T17:26:02Z
12203488,,,4,0,2017-07-02T12:25:25Z
12203498,,,6,0,2017-07-02T12:12:45Z
12203516,,,10,0,2016-10-09T17:55:18Z
12203532,,,8,0,2017-07-21T05:19:48Z
12203544,,,8,0,2017-07-09T00:36:38Z
12203561,,,4,0,2017-07-09T02:04:26Z
