id,key,value,type
88939190,created_by,JOSM,regular
88939201,created_by,JOSM,regular
88939213,created_by,JOSM,regular
88939225,created_by,JOSM,regular
88939230,created_by,JOSM,regular
88939239,created_by,JOSM,regular
88939244,created_by,JOSM,regular
88939252,created_by,JOSM,regular
88939256,created_by,JOSM,regular
88939261,created_by,JOSM,regular
88939266,created_by,JOSM,regular
88939286,created_by,JOSM,regular
88939291,created_by,JOSM,regular
88939323,created_by,JOSM,regular
88939351,created_by,JOSM,regular
88939362,created_by,JOSM,regular
88939367,created_by,JOSM,regular
88939371,created_by,JOSM,regular
88939394,created_by,JOSM,regular
88939398,created_by,JOSM,regular
88939444,created_by,JOSM,regular
88939450,created_by,JOSM,regular
88939454,created_by,JOSM,regular
88939477,created_by,JOSM,regular
88939482,created_by,JOSM,regular
88939487,created_by,JOSM,regular
88939502,created_by,JOSM,regular
88939519,created_by,JOSM,regular
88939536,created_by,JOSM,regular
88939548,created_by,JOSM,regular
88939568,created_by,JOSM,regular
88939922,created_by,JOSM,regular
88939927,created_by,JOSM,regular
88939931,created_by,JOSM,regular
88939937,created_by,JOSM,regular
88939941,created_by,JOSM,regular
88939946,created_by,JOSM,regular
88939952,created_by,JOSM,regular
88939965,created_by,JOSM,regular
88940006,created_by,JOSM,regular
88940011,created_by,JOSM,regular
88940016,created_by,JOSM,regular
88940020,created_by,JOSM,regular
88940026,created_by,JOSM,regular
88940045,created_by,JOSM,regular
88973696,created_by,JOSM,regular
88973736,created_by,JOSM,regular
88973845,created_by,JOSM,regular
88973869,created_by,JOSM,regular
88973878,created_by,JOSM,regular
88973961,created_by,JOSM,regular
88973977,created_by,JOSM,regular
88973991,created_by,JOSM,regular
88974116,created_by,JOSM,regular
88974160,created_by,JOSM,regular
88974261,created_by,JOSM,regular
88974282,created_by,JOSM,regular
88974302,created_by,JOSM,regular
88974313,created_by,JOSM,regular
88974459,created_by,JOSM,regular
88974470,created_by,JOSM,regular
88974482,created_by,JOSM,regular
88974612,created_by,JOSM,regular
88974621,created_by,JOSM,regular
88974695,created_by,JOSM,regular
88974702,created_by,JOSM,regular
88974817,created_by,JOSM,regular
88974872,created_by,JOSM,regular
88974877,created_by,JOSM,regular
88974889,created_by,JOSM,regular
88974966,created_by,JOSM,regular
88975050,created_by,JOSM,regular
88975065,created_by,JOSM,regular
88975185,created_by,JOSM,regular
88975712,created_by,JOSM,regular
88975881,created_by,JOSM,regular
88975900,created_by,JOSM,regular
88975907,created_by,JOSM,regular
88975948,created_by,JOSM,regular
88976010,created_by,JOSM,regular
88976066,created_by,JOSM,regular
88976385,created_by,JOSM,regular
88976396,created_by,JOSM,regular
88976408,created_by,JOSM,regular
88976418,created_by,JOSM,regular
88976602,created_by,JOSM,regular
88976885,created_by,JOSM,regular
88976892,created_by,JOSM,regular
88976898,created_by,JOSM,regular
88977145,created_by,JOSM,regular
88977394,created_by,JOSM,regular
88977432,created_by,JOSM,regular
88977762,created_by,JOSM,regular
88978471,created_by,JOSM,regular
